ec2_count,ec2_total_memory,ec2_total_vcpu,rds_count,rds_total_memory,rds_multi_az,ebs_volume_count,ebs_total_gb,s3_bucket_count,s3_total_gb,has_nat_gateway,has_load_balancer,total_resources,monthly_cost
2,32.5,6,4,57.0,0,17,6978,3,11062,0,0,26,2608.17
7,60.0,20,0,0.0,1,14,6597,8,33896,1,0,30,2875.92
10,218.0,50,2,12.0,0,9,4576,10,58107,1,1,33,3556.53
1,32.0,8,4,38.0,0,19,9540,10,48912,0,0,34,2706.62
2,5.0,4,4,164.0,1,13,7069,0,0,0,1,20,4624.72
6,33.0,14,5,101.0,1,11,4312,10,46078,1,1,34,5281.25
5,30.0,10,0,0.0,0,9,3177,5,25920,0,0,19,1169.31
2,80.0,12,0,0.0,0,7,3864,1,1187,0,0,10,1306.54
2,40.0,8,0,0.0,1,16,8147,6,31766,1,0,25,2795.73
4,36.0,10,2,36.0,0,4,2617,9,42502,1,1,21,2216.08
10,166.0,50,5,76.0,1,16,6608,8,37687,1,0,40,5580.03
8,117.0,36,2,96.0,1,6,2265,9,39383,0,1,26,4140.52
1,4.0,2,0,0.0,0,13,5316,10,60372,0,0,24,2823.37
10,165.0,34,4,38.0,0,2,1506,6,34932,1,0,23,2864.13
10,165.5,42,2,40.0,1,14,7942,4,28198,1,0,31,4839.69
3,88.0,18,3,88.0,0,9,5480,3,21435,1,1,20,3808.6
5,91.0,24,5,96.0,1,18,8089,6,23363,1,0,35,5746.14
7,149.0,34,2,33.0,0,9,6487,9,31043,0,1,28,3082.96
3,65.0,14,2,24.0,1,8,3809,6,31859,0,0,19,2224.53
9,136.0,32,2,65.0,0,14,6117,9,43851,1,0,35,3642.9
3,52.0,14,4,74.0,0,19,10336,10,55198,0,0,36,3663.54
5,104.5,36,4,30.0,1,13,6388,1,3546,0,1,24,2614.15
3,40.0,10,1,16.0,0,17,8213,8,37624,1,1,31,2336.29
8,163.0,38,2,72.0,0,5,2428,10,35525,1,1,27,3687.58
10,194.0,38,1,8.0,1,20,11149,0,0,1,0,32,3986.18
7,108.5,20,1,16.0,0,10,6372,9,49659,0,0,27,3288.79
4,88.0,14,4,36.0,1,14,7100,1,914,0,0,23,3069.36
6,113.5,28,1,64.0,0,13,7837,2,13689,1,0,23,4131.71
6,139.0,32,1,64.0,1,2,1511,10,52588,1,1,21,3448.45
0,0.0,0,5,73.0,1,14,7608,10,56355,1,1,31,4389.42
2,12.0,4,1,64.0,0,2,963,8,38845,1,0,14,1932.74
10,202.5,52,3,48.0,1,4,1352,9,43823,0,0,26,4034.25
9,242.5,58,3,14.0,1,5,3061,5,27583,1,1,24,3300.0
8,133.0,34,2,64.0,0,13,4962,10,45482,1,1,35,4187.25
9,187.0,48,2,34.0,1,7,3393,2,8421,1,0,21,2973.48
9,157.0,28,3,81.0,0,12,4401,1,4987,1,1,27,3199.41
2,20.0,4,2,8.0,0,18,9126,3,11517,1,0,26,2699.25
3,80.0,24,0,0.0,1,11,5788,9,41741,1,1,25,2626.07
0,0.0,0,2,40.0,0,4,1804,3,15204,0,0,9,1123.64
4,69.0,20,1,1.0,1,12,4595,8,31716,0,1,26,2505.03
0,0.0,0,4,13.0,1,9,3878,7,48059,1,0,21,1741.84
9,205.0,40,0,0.0,1,19,7864,9,63990,1,1,39,4842.37
2,48.0,12,1,8.0,1,7,2716,3,13110,0,1,14,1346.9
8,61.0,24,3,48.0,1,12,4846,9,52042,1,1,34,3851.11
2,72.0,12,0,0.0,1,7,3008,8,49461,1,1,19,2287.5
4,65.0,12,1,16.0,1,1,942,8,41946,1,1,16,2263.89
1,32.0,8,1,16.0,0,0,0,8,42222,0,0,10,1274.93
0,0.0,0,2,36.0,0,16,7477,10,52708,0,0,28,2951.34
8,105.5,38,5,58.0,1,4,2421,7,42573,0,0,24,4035.51
0,0.0,0,3,48.0,1,5,2545,10,58199,0,1,19,3041.51
5,156.0,32,3,25.0,1,13,7462,9,31490,0,1,31,3145.83
9,95.5,28,4,44.0,1,16,7827,9,54643,1,0,39,4942.41
1,8.0,4,2,10.0,0,19,8416,9,42599,1,0,32,2829.34
6,152.0,48,3,64.0,1,4,2105,2,15711,1,0,16,4207.95
1,32.0,8,2,36.0,0,0,0,3,22416,1,0,7,1249.04
5,112.0,18,0,0.0,1,2,780,2,11787,1,0,10,1907.31
7,149.0,36,2,24.0,0,2,753,3,19234,0,0,14,1913.14
4,74.0,18,4,116.0,0,7,3454,7,22677,0,1,23,3433.93
7,142.0,40,3,64.0,1,19,8927,2,14008,1,1,33,5213.12
3,32.0,16,2,20.0,1,10,5575,2,6737,1,0,18,2635.9
0,0.0,0,4,80.0,0,11,5136,1,5118,0,1,17,1947.62
9,228.0,48,4,102.0,0,13,5288,7,42980,1,0,34,4897.46
1,64.0,8,0,0.0,1,6,2614,8,54865,1,1,17,1728.06
1,8.0,2,2,24.0,1,13,6409,0,0,1,0,17,2132.89
5,156.0,32,5,62.0,1,13,7414,8,33196,0,1,32,4958.29
4,145.0,36,5,54.0,1,8,4542,3,12465,0,1,21,3478.82
0,0.0,0,2,24.0,0,4,1565,4,29319,1,1,12,1309.87
6,117.0,32,3,65.0,1,12,7080,7,39527,1,0,29,4847.95
2,40.0,10,1,32.0,1,11,5369,4,36580,0,1,19,2037.96
7,95.0,28,4,128.0,0,13,5748,2,2020,0,1,27,3284.38
2,16.5,10,5,138.0,0,4,2350,2,14494,0,1,14,1849.46
4,51.0,16,0,0.0,0,3,1031,6,49216,0,0,13,1428.55
2,36.0,10,2,24.0,1,10,5260,2,14065,0,1,17,1968.89
6,144.0,22,4,72.0,0,11,4349,2,7805,1,1,25,2788.02
3,56.0,16,1,4.0,0,1,568,5,30758,0,0,10,1269.91
4,32.0,8,2,18.0,0,9,5014,9,52892,0,0,24,2542.38
2,17.0,4,4,16.0,1,8,4636,2,12547,1,1,18,2466.72
9,209.0,56,3,73.0,1,20,12027,8,56050,0,1,41,5788.43
5,52.0,14,2,9.0,1,2,1164,0,0,0,0,9,1051.89
2,20.0,6,2,36.0,0,15,7909,3,20051,1,1,24,3244.27
7,96.5,34,2,9.0,1,1,551,3,11729,1,0,14,1686.49
3,64.0,12,3,88.0,1,0,0,8,17661,0,0,14,2395.2
5,30.0,10,2,18.0,1,20,9684,10,60024,1,1,39,3849.71
10,177.0,42,3,18.0,0,16,7510,2,7913,1,1,33,4265.27
6,232.0,48,4,74.0,1,12,7782,0,0,0,1,23,4929.28
2,40.0,10,0,0.0,1,15,6512,10,43005,0,0,27,3209.31
1,16.0,4,3,66.0,0,4,2861,0,0,0,1,9,919.93
10,162.5,34,1,2.0,1,2,486,0,0,0,1,14,1622.8
5,89.0,26,1,4.0,0,19,8395,10,42147,1,0,36,4363.82
3,48.0,14,4,66.0,1,6,3306,8,37238,1,0,22,3933.18
0,0.0,0,5,74.0,0,12,5730,8,51899,1,1,27,2724.33
9,114.0,24,0,0.0,1,3,828,5,28379,0,1,18,1577.55
9,115.5,34,0,0.0,0,19,8197,3,10637,1,0,32,2974.9
2,32.0,12,5,36.0,1,20,9922,3,7710,1,1,32,2871.26
1,1.0,2,3,41.0,1,8,3737,5,27310,1,0,18,1737.57
10,92.5,36,1,8.0,0,6,4193,10,38270,1,0,28,2642.13
9,181.0,46,0,0.0,1,4,3278,5,28827,1,1,20,2843.96
7,86.0,30,1,8.0,0,1,653,4,24547,1,1,15,1605.46
10,118.5,38,5,38.0,0,6,1240,6,23912,1,0,28,2548.13
7,69.5,22,2,18.0,0,19,11876,2,12914,0,1,31,3099.31
3,20.0,6,0,0.0,1,9,4114,8,41537,1,0,21,1934.51
10,154.0,48,5,97.0,1,2,676,1,6258,1,0,19,4201.11
0,0.0,0,0,0.0,0,3,1955,0,0,0,1,4,611.35
1,16.0,2,5,92.0,1,17,8938,10,38363,0,0,33,4965.09
1,32.0,4,3,73.0,1,6,3021,10,53974,0,0,20,3102.75
2,96.0,12,0,0.0,0,1,307,9,36960,0,0,12,1394.45
8,164.0,30,0,0.0,0,17,9215,0,0,1,0,26,2892.69
2,40.0,12,0,0.0,0,18,7330,1,743,0,1,22,1754.7
8,232.0,48,5,52.0,0,7,3757,5,31942,0,0,25,3734.41
1,8.0,4,4,96.0,0,1,593,8,50770,0,1,15,2203.37
6,145.0,26,2,10.0,0,18,10126,9,47604,0,0,35,3480.71
6,138.0,38,3,25.0,0,16,8046,0,0,1,1,27,3369.7
5,92.0,24,1,16.0,0,1,94,7,34383,1,1,16,2101.81
5,86.0,18,2,34.0,0,8,2444,6,30659,0,0,21,2510.46
1,0.5,2,2,40.0,0,10,3595,7,23858,1,0,21,1467.94
8,148.0,40,5,130.0,1,3,1937,1,4260,1,0,18,4677.31
10,164.5,50,4,50.0,1,11,5371,7,29848,1,0,33,4018.2
6,171.0,44,5,146.0,0,7,3635,2,6909,1,0,21,4177.54
3,32.0,8,0,0.0,1,7,3789,2,5368,1,1,14,1124.53
9,44.5,26,5,46.0,0,20,9740,2,18219,0,1,37,3557.26
4,168.0,42,3,41.0,1,1,754,1,9366,1,0,10,2470.52
7,216.0,50,0,0.0,0,14,5737,6,34245,1,0,28,3898.6
6,69.0,20,1,1.0,0,0,0,7,28020,0,0,14,1274.48
8,114.0,26,5,71.0,0,7,3656,7,44841,0,0,27,2773.02
7,85.5,30,2,24.0,1,12,6521,1,5172,0,0,22,3072.97
4,102.0,20,1,2.0,1,2,1226,3,15515,0,1,11,1512.43
7,185.0,46,1,8.0,1,2,346,3,17664,1,1,15,2271.77
10,200.0,56,5,101.0,1,2,1124,4,17608,0,1,22,4261.53
5,73.0,16,4,82.0,1,7,3776,3,19089,0,0,19,3424.5
8,80.5,24,2,72.0,1,7,2689,8,40273,1,0,26,3954.05
4,96.0,14,5,160.0,1,3,1457,8,42960,0,0,20,4611.93
6,98.0,16,3,64.0,0,18,9491,7,35500,0,1,35,4367.22
7,160.0,38,2,40.0,0,3,478,6,15288,1,0,19,2218.5
9,126.5,38,4,56.0,1,2,1310,4,21996,0,1,20,3421.52
2,18.0,10,5,17.0,1,1,806,5,38554,0,0,13,1615.33
3,18.0,8,1,4.0,0,9,4662,8,45591,1,0,22,2185.92
0,0.0,0,2,9.0,1,9,6298,7,26461,1,0,19,1975.72
6,172.0,40,4,164.0,1,0,0,8,32254,1,1,20,4678.22
0,0.0,0,1,8.0,0,15,7285,0,0,0,0,16,1298.6
1,8.0,4,1,32.0,0,5,2381,1,5525,0,0,8,1138.21
4,28.5,10,0,0.0,0,8,2377,1,6068,0,0,13,1128.92
1,16.0,4,5,54.0,0,17,7775,1,8877,1,0,25,2726.15
5,43.0,18,4,144.0,1,6,3261,5,19821,1,0,21,4781.71
9,112.0,28,3,112.0,0,1,440,10,40255,0,0,23,2518.01
10,104.0,44,0,0.0,1,13,6431,7,42432,0,0,30,3912.56
4,56.5,18,1,8.0,1,16,9634,1,163,1,0,23,2638.16
8,178.0,40,2,48.0,0,16,6728,4,21328,0,1,31,3412.36
1,16.0,4,2,24.0,1,10,6487,1,3530,0,1,15,1646.69
6,31.0,12,3,68.0,0,10,4577,6,38613,0,0,25,2495.23
3,42.0,14,5,192.0,1,7,3953,10,37398,1,1,27,5886.36
0,0.0,0,2,65.0,1,19,9116,9,39699,1,0,31,3843.29
4,20.5,8,3,104.0,1,3,1329,2,11155,0,0,12,2648.25
7,144.0,32,1,16.0,0,17,9398,2,13040,1,0,28,3577.38
3,20.5,8,1,2.0,1,14,6881,3,11054,1,0,22,1978.95
8,120.0,28,1,1.0,1,11,6058,6,28616,0,1,27,2514.5
5,121.0,30,5,104.0,1,5,2650,6,27942,1,0,22,4449.71
7,148.5,32,5,51.0,1,3,798,4,25537,1,0,20,3134.39
7,148.0,34,5,35.0,1,9,3144,8,35415,0,1,30,3578.16
8,116.0,28,2,40.0,0,20,10160,4,26288,1,0,35,4150.96
8,164.5,36,5,54.0,1,14,5821,5,33349,0,1,33,3978.98
2,80.0,12,2,16.0,0,19,9267,3,23233,1,1,28,3219.64
0,0.0,0,2,20.0,0,20,9266,10,45539,0,1,33,2679.93
8,88.0,28,4,160.0,1,16,8758,4,22998,0,1,33,5533.94
1,4.0,2,1,32.0,0,17,7202,0,0,0,1,20,2181.82
1,2.0,2,4,68.0,0,5,1158,1,2289,0,1,12,1471.85
6,200.0,36,4,90.0,0,15,8760,2,15742,0,0,27,4089.87
4,69.5,14,3,49.0,0,18,9684,6,30384,1,0,32,3793.59
5,88.0,16,0,0.0,1,16,9247,9,39863,0,1,31,3024.91
1,1.0,2,1,64.0,1,19,9181,1,2888,1,1,24,4083.62
5,92.0,18,0,0.0,0,13,5500,2,4730,0,0,20,2349.42
2,48.0,8,1,1.0,0,18,8280,4,8404,1,0,26,2888.31
5,82.0,20,3,10.0,1,9,5088,3,8812,0,0,20,1832.9
8,132.5,32,4,27.0,0,14,6917,4,15074,0,1,31,3136.9
5,44.5,16,4,85.0,0,15,9124,9,46670,1,0,34,4075.07
1,2.0,2,0,0.0,1,11,4421,2,10527,0,0,14,1319.99
1,1.0,2,0,0.0,0,8,3468,4,15266,1,0,14,1278.9
8,208.0,54,0,0.0,0,5,1560,9,53014,0,1,23,3020.08
9,191.0,50,4,90.0,1,20,10059,3,15118,1,0,37,5902.25
7,63.0,22,0,0.0,0,12,6149,8,41054,0,1,28,2599.69
4,48.0,20,4,25.0,0,9,4976,7,29820,0,0,24,3281.79
9,248.0,44,2,80.0,0,0,0,7,39906,0,0,18,3194.97
4,53.0,16,4,66.0,0,6,2176,4,25646,0,1,19,2584.49
6,150.0,28,1,2.0,0,14,8852,6,25008,1,1,29,3134.21
10,235.0,48,5,120.0,1,4,1641,7,26812,1,1,28,5056.21
1,4.0,2,3,66.0,1,19,9564,5,29422,1,1,30,4629.67
6,108.0,16,4,38.0,0,19,8658,8,39312,0,1,38,4064.61
8,174.0,42,1,16.0,1,7,3822,5,23993,0,1,22,3550.77
3,128.0,28,5,160.0,1,19,11704,1,4038,1,0,29,5475.72
6,77.0,22,5,160.0,1,6,2700,5,38512,1,0,23,5352.29
5,168.0,46,3,48.0,0,11,6633,2,4966,1,1,23,3607.19
6,178.0,42,0,0.0,0,3,2252,9,45457,0,1,19,2677.46
7,121.5,30,1,8.0,1,4,1979,8,47369,0,0,20,2173.92
1,16.0,4,3,17.0,0,15,7391,7,34975,1,0,27,2825.86
2,20.0,6,2,24.0,1,2,254,4,24259,1,0,11,2062.4
1,64.0,16,1,64.0,0,16,6646,4,7322,0,1,23,3024.39
1,0.5,2,2,12.0,1,10,5069,9,38890,0,1,23,2230.57
7,136.0,26,0,0.0,0,16,8019,8,35152,0,0,31,3604.2
2,32.5,6,4,60.0,1,7,3475,3,18974,0,0,16,2595.94
3,40.0,8,4,76.0,0,18,10967,4,22624,1,1,31,3673.5
9,190.0,48,1,4.0,0,3,1551,9,45458,1,1,24,2950.4
3,112.0,28,2,24.0,0,16,8744,3,6249,1,0,25,3257.89
6,146.0,38,0,0.0,0,5,1528,2,16415,0,0,13,2118.56
0,0.0,0,5,65.0,1,3,2601,7,33925,0,0,15,2729.37
3,5.5,6,0,0.0,0,15,8789,4,21067,0,0,22,3050.15
7,172.0,30,2,20.0,1,17,10576,10,46322,0,0,36,3804.62
2,16.0,4,0,0.0,1,16,9490,7,30417,0,1,26,2172.77
2,72.0,20,1,8.0,0,7,1966,2,5486,1,0,13,2183.39
6,204.0,46,5,84.0,0,19,10340,3,14082,1,0,34,5030.25
0,0.0,0,1,32.0,0,7,3207,5,15636,0,1,14,1229.46
5,17.0,10,5,71.0,0,5,2307,6,39542,0,0,21,2149.3
8,284.5,56,5,15.0,0,5,2204,5,29148,1,0,24,3647.97
5,57.0,16,1,16.0,0,8,4585,8,40641,1,1,24,2466.13
10,120.5,30,4,43.0,0,5,2011,2,12224,1,0,22,2141.76
3,42.0,10,3,44.0,1,18,9798,4,21735,0,0,28,4009.87
4,15.0,10,4,56.0,1,7,3634,4,18279,1,1,21,2731.02
10,226.5,64,1,16.0,0,15,6184,2,5720,1,1,30,3779.61
3,41.0,12,4,130.0,1,20,11434,2,11397,1,1,31,5490.52
9,156.0,30,2,40.0,1,4,1475,2,13161,1,0,18,2729.18
9,168.0,42,3,26.0,0,4,2193,0,0,1,0,17,2236.0
0,0.0,0,1,4.0,0,4,1830,10,56863,0,0,15,1909.13
0,0.0,0,2,24.0,0,3,1070,2,1969,0,0,7,510.18
7,218.0,38,3,37.0,0,14,7252,4,30833,0,1,29,3117.78
8,158.5,40,2,66.0,0,9,4038,1,5843,1,0,21,3271.63
8,78.5,28,2,64.0,0,3,1717,1,775,0,1,15,1733.78
10,198.5,40,3,112.0,0,5,2865,1,1802,1,1,21,2937.68
9,172.5,42,1,4.0,0,9,4081,3,14339,1,1,24,2597.14
1,16.0,4,1,2.0,0,5,2727,10,63161,0,1,18,2173.6
2,32.0,6,4,120.0,0,2,555,0,0,1,1,10,1837.69
0,0.0,0,1,1.0,0,1,447,0,0,0,1,3,223.37
1,0.5,2,3,28.0,1,0,0,7,28240,0,1,12,1297.98
8,103.0,28,4,168.0,0,1,945,10,45267,1,0,24,3453.2
2,40.0,6,2,66.0,1,7,3399,9,42704,1,0,21,3401.81
3,48.0,12,4,113.0,0,10,4341,3,15704,0,1,21,2752.79
10,202.5,48,5,134.0,1,14,6704,3,16616,1,0,33,7256.53
1,16.0,4,0,0.0,1,0,0,2,4979,0,0,3,252.56
4,57.0,10,5,76.0,1,2,579,3,19446,1,1,16,2921.86
2,20.0,6,1,16.0,0,16,9500,4,14900,0,0,23,2341.14
2,32.0,6,3,80.0,0,3,1488,7,31002,1,1,17,1927.23
2,24.0,10,1,8.0,0,0,0,10,39521,0,0,13,1147.88
7,176.0,38,1,32.0,1,12,5913,10,51008,0,1,31,4416.08
7,192.5,42,1,16.0,0,14,6826,9,61580,0,1,32,3667.88
3,18.5,8,1,4.0,0,3,1410,0,0,1,1,9,671.56
4,51.0,16,2,9.0,0,9,5798,5,19982,1,0,21,1850.1
1,4.0,2,2,33.0,0,6,3031,2,11331,0,0,11,1737.2
4,21.0,10,1,64.0,1,19,9977,5,37167,0,0,29,3961.78
9,208.0,44,5,54.0,0,12,6223,9,51829,1,0,36,4781.78
3,40.0,14,0,0.0,0,5,2599,4,25859,1,1,14,1643.53
7,79.0,18,0,0.0,1,3,1938,2,7142,1,0,13,1613.02
1,16.0,4,5,52.0,1,2,1482,10,49029,0,0,18,2420.39
4,104.0,24,0,0.0,1,19,9607,0,0,1,1,25,3225.97
6,168.0,44,4,35.0,1,10,4320,7,21290,0,0,27,4308.76
10,128.0,34,0,0.0,0,2,1170,10,49240,1,1,24,2408.84
8,83.0,30,0,0.0,0,1,129,10,48356,1,1,21,2018.78
5,67.0,18,5,51.0,0,9,5357,3,23582,0,0,22,3214.29
5,168.5,28,5,56.0,1,3,1857,9,54525,1,0,23,3981.4
3,24.5,10,1,1.0,1,12,5459,9,44357,1,1,27,2460.78
3,100.0,18,4,36.0,0,0,0,10,35631,0,0,17,1975.12
7,129.0,36,1,16.0,1,4,2895,7,33870,0,1,20,2739.12
7,97.0,30,5,57.0,1,18,8842,7,24304,0,0,37,4376.69
10,204.0,48,2,40.0,0,0,0,2,13029,1,0,15,2593.62
9,249.5,50,0,0.0,0,2,1401,2,10822,1,1,15,2434.11
9,248.5,62,5,72.0,1,6,3321,5,29765,0,0,25,5427.44
2,80.0,24,4,146.0,0,18,7732,2,9726,0,0,26,4463.97
4,49.0,16,0,0.0,0,1,446,2,8085,0,1,8,743.9
1,64.0,16,1,64.0,0,15,7125,9,32222,1,1,28,4445.19
1,8.0,4,3,50.0,1,6,2759,6,31044,0,1,17,2179.28
0,0.0,0,5,72.0,1,5,2680,7,42337,1,1,19,3020.37
4,44.0,16,5,44.0,0,0,0,8,38359,0,0,17,1727.44
10,264.5,52,2,20.0,0,0,0,2,16631,0,1,15,2540.9
10,216.5,46,5,136.0,0,16,8145,3,15162,0,0,34,6108.31
10,178.5,36,5,137.0,1,12,5644,9,27775,0,1,37,5306.63
7,104.5,28,0,0.0,1,0,0,5,28244,0,0,12,1564.2
1,4.0,2,5,145.0,0,1,109,0,0,1,0,8,1435.6
8,156.0,44,5,112.0,0,0,0,5,15293,0,0,18,2999.46
